,Phenotype,o_1,o_2,o_3,o_4
219,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
220,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
221,x[7] -= 9,0.5686062872409821,0.02777777798473835,0.1111111111111111,0.15484657883644104
222,x[6] -= 1,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
223,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
224,x[8] -= 2,10000.0,10000.0,10000.0,10000.0
225,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
226,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
227,x[3] += 5,10000.0,10000.0,10000.0,10000.0
228,x[6] -= 1.1,0.6322492361068726,2.7536831112229265e-05,0.1111111111111111,0.17203055322170258
229,x[2] += 9,10000.0,10000.0,10000.0,10000.0
230,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
231,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
232,x[6] -= 0.6,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
233,x[6] *= 0.5,0.6865682303905487,0.03170866146683693,0.1111111111111111,0.16981486976146698
234,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
235,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
236,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
237,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
238,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
239,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
240,x[0] -= 4 ; x[1] ^= 1,0.6572940051555634,0.13131313025951385,0.2222222222222222,0.24470622837543488
241,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
242,x[0] -= 4,0.6532111763954163,0.020202020183205605,0.1111111111111111,0.18837106227874756
243,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
244,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
245,x[6] += 0.3,0.6321898996829987,0.0,0.0,0.1720423549413681
246,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
